name,team,player_position,penalty_name,penalty_yards
C.Dahl,St. Louis,DB,Ineligible Downfield Pass,0
C.Dahl,St. Louis,DB,Unnecessary Roughness,83
C.Dahl,St. Louis,DB,Illegal Kick/Kicking Loose Ball,0
C.Dahl,St. Louis,DB,Leaping,0
C.Hope,Tennessee,DB,Fair Catch Interference,0
C.Hope,Tennessee,DB,Kick Catch Interference,0
C.Horton,Washington,DB,Offensive Pass Interference,50
C.Horton,Washington,DB,Taunting,15
C.Jackson,Atlanta,DB,Illegal Forward Handoff,0
C.McAlister,New Orleans,DB,Illegal Touch Kick,5
C.Munnerlyn,Carolina,DB,Kickoff Out of Bounds,0
C.Munnerlyn,Carolina,DB,Illegal Motion,5
C.Munnerlyn,Carolina,DB,Roughing the Kicker,0
C.Munnerlyn,Carolina,DB,Illegal Contact,30
C.Munnerlyn,Carolina,DB,Illegal Bat,0
C.Munnerlyn,Carolina,DB,Illegal Bat,0
C.Ndukwe,Cincinnati,DB,Illegal Procedure,0
C.Ndukwe,Cincinnati,DB,Offensive Too Many Men on Field,0
C.Owens,Atlanta,DB,Unnecessary Roughness,110
C.Taylor,San Francisco,DB,Defensive Holding,47
C.Tillman,Chicago,DB,Illegal Block Above the Waist,73
C.Tillman,Chicago,DB,Offensive Holding,378
C.Tillman,Chicago,DB,Interference with Opportunity to Catch,0
C.Tillman,Chicago,DB,Illegal Forward Pass,0
C.Tillman,Chicago,DB,Delay of Kickoff,0
C.Williams,Tennessee,DB,Taunting,0
Claude Spillman,San Diego,DB,Offensive Pass Interference,60
D.Barber,Houston,DB,Fair Catch Interference,30
D.Bly,San Francisco,DB,Fair Catch Interference,0
D.Bly,San Francisco,DB,Illegal Procedure,0
D.Bly,San Francisco,DB,Offensive Pass Interference,30
D.Bly,San Francisco,DB,Intentional Grounding,24
